proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash,datetime_utc
0x0fed97668ee9f743676d53a4a832b500336b97d3,SELL,53265480907230993277291980022548289888513511631269590569842180511999408934826,0xe407f2a0500097f53f9a1634b910ac5e85f52bc9389be48096dd81943a6c009c,20.86,0.999,1762065295,World Series Winner,world-series-winner,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlb-logo.png,world-series-winner,Dodgers,1,wuyulun0823,Fat-Chiffonier,,,,0x8fcdbb0410ac821b937c52d8bbd78a328d4526707e1d1f0e67a99807ebfc90b5,2025-11-02 06:34:55+00:00
0xcb239d37d4e32efe494c1701f3d8a50b72078189,BUY,53265480907230993277291980022548289888513511631269590569842180511999408934826,0xe407f2a0500097f53f9a1634b910ac5e85f52bc9389be48096dd81943a6c009c,5.0,0.99,1762062351,World Series Winner,world-series-winner,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlb-logo.png,world-series-winner,Dodgers,1,Thesickest,Tedious-Tumbler,,,,0x830e54ad582d9a6e340b7108641cd15cff6385176aec15cc4f5635e3599c364c,2025-11-02 05:45:51+00:00
0xcb239d37d4e32efe494c1701f3d8a50b72078189,BUY,53265480907230993277291980022548289888513511631269590569842180511999408934826,0xe407f2a0500097f53f9a1634b910ac5e85f52bc9389be48096dd81943a6c009c,5.48,0.99,1762061883,World Series Winner,world-series-winner,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlb-logo.png,world-series-winner,Dodgers,1,Thesickest,Tedious-Tumbler,,,,0xc132a8fb87a50587adb72a886b470db46f36f25d067fded1f2c83eee72e33659,2025-11-02 05:38:03+00:00
0x97317409bfd9e992611596acee93e8b938019b35,BUY,66823754893113160492896748488545715596397411386149556601840637775889894946661,0xe407f2a0500097f53f9a1634b910ac5e85f52bc9389be48096dd81943a6c009c,2.74,0.47,1762061629,World Series Winner,world-series-winner,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlb-logo.png,world-series-winner,Blue Jays,0,BlindOrangutan,Front-Custard,,,,0x7433ca9c32fc75e221878c89e0238852e7dc87330d9ecdafcd2d649294a3754c,2025-11-02 05:33:49+00:00
0x97317409bfd9e992611596acee93e8b938019b35,BUY,66823754893113160492896748488545715596397411386149556601840637775889894946661,0xe407f2a0500097f53f9a1634b910ac5e85f52bc9389be48096dd81943a6c009c,2.74,0.47,1762061619,World Series Winner,world-series-winner,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlb-logo.png,world-series-winner,Blue Jays,0,BlindOrangutan,Front-Custard,,,,0xece52d666b4c4025b94d2671ac07100b930ba40eebb41733e48ae12179e5801d,2025-11-02 05:33:39+00:00
0x97317409bfd9e992611596acee93e8b938019b35,BUY,66823754893113160492896748488545715596397411386149556601840637775889894946661,0xe407f2a0500097f53f9a1634b910ac5e85f52bc9389be48096dd81943a6c009c,2.74,0.47,1762061449,World Series Winner,world-series-winner,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlb-logo.png,world-series-winner,Blue Jays,0,BlindOrangutan,Front-Custard,,,,0xfb819d915c4a344ae85d7f338e7bd38c1781d7b8b25ac56656f9593b5cb3c89f,2025-11-02 05:30:49+00:00
0x97317409bfd9e992611596acee93e8b938019b35,BUY,66823754893113160492896748488545715596397411386149556601840637775889894946661,0xe407f2a0500097f53f9a1634b910ac5e85f52bc9389be48096dd81943a6c009c,2.74,0.47,1762061431,World Series Winner,world-series-winner,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlb-logo.png,world-series-winner,Blue Jays,0,BlindOrangutan,Front-Custard,,,,0x910834674ae85862f00985bfb055360f06a1c8267e42019b192de9f38ebc182f,2025-11-02 05:30:31+00:00
0x97317409bfd9e992611596acee93e8b938019b35,BUY,66823754893113160492896748488545715596397411386149556601840637775889894946661,0xe407f2a0500097f53f9a1634b910ac5e85f52bc9389be48096dd81943a6c009c,2.74,0.47,1762061280,World Series Winner,world-series-winner,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlb-logo.png,world-series-winner,Blue Jays,0,BlindOrangutan,Front-Custard,,,,0x846ce53f053363107bfeeb544f7c1110a545639959b7b34d61c2b1aa266a3be6,2025-11-02 05:28:00+00:00
0x97317409bfd9e992611596acee93e8b938019b35,BUY,66823754893113160492896748488545715596397411386149556601840637775889894946661,0xe407f2a0500097f53f9a1634b910ac5e85f52bc9389be48096dd81943a6c009c,2.74,0.47,1762061164,World Series Winner,world-series-winner,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlb-logo.png,world-series-winner,Blue Jays,0,BlindOrangutan,Front-Custard,,,,0x7480948fcc6ae27029529062de5b33256d94dbd226bcd78e8a77ade5ec68428d,2025-11-02 05:26:04+00:00
0x97317409bfd9e992611596acee93e8b938019b35,BUY,66823754893113160492896748488545715596397411386149556601840637775889894946661,0xe407f2a0500097f53f9a1634b910ac5e85f52bc9389be48096dd81943a6c009c,2.74,0.48,1762061154,World Series Winner,world-series-winner,https://polymarket-upload.s3.us-east-2.amazonaws.com/mlb-logo.png,world-series-winner,Blue Jays,0,BlindOrangutan,Front-Custard,,,,0x432bf3764794381486a659911e082fef42a6fc7758f440f3dc1f001d215cd575,2025-11-02 05:25:54+00:00
