trade_index,datetime_utc,victim_size_usd,front_run_size_usd,victim_cost_baseline,victim_cost_actual,front_run_shares,back_run_revenue,attacker_profit,shares_lost,expected_value_lost,price_before,price_after_frontrun,price_after_victim,price_after_backrun,market
0,2026-02-09 03:29:03+00:00,4800.0,4800.000000000001,4800.000000000001,4800.000000000001,8253.843807842637,8221.110813096086,3421.1108130960847,3453.809978485504,3.4538099784855016,0.0009999999999999994,0.9999323389922457,0.9999999954174055,0.9366308972174578,NFL SEA vs NE
2,2026-02-09 04:20:55+00:00,2190.0,2189.999999999999,2189.999999999999,2189.999999999999,2222.003447917983,2221.5896576484456,31.58965764844652,31.61530329749894,29.631804388782353,0.9372614303253102,0.9992141769154512,0.9999901572840533,0.9991629272375738,NFL SEA vs NE
3,2026-02-09 04:20:59+00:00,2190.0,2189.999999999999,2189.999999999999,2189.999999999999,2190.4134693059777,2190.4082883395977,0.40828833959858457,0.40829262214629125,0.40795085151319305,0.9991629272375738,0.9999895153634586,0.9999998686761672,0.9999895067984524,NFL SEA vs NE
4,2026-02-09 04:21:03+00:00,2190.0,2189.999999999999,2189.999999999999,2189.999999999998,2190.005180912739,2190.0051160196144,0.005116019615343248,0.005116020288369327,0.00511596660493732,0.9999895067984524,0.9999998685688876,0.9999999983537782,0.9999998685675429,NFL SEA vs NE
5,2026-02-09 04:21:27+00:00,2190.0,2189.999999999998,2189.999999999998,2189.999999999998,2190.0000648931127,2190.0000640803028,6.408030458260328e-05,6.408030367310857e-05,6.40802952508768e-05,0.9999998685675429,0.9999999983537613,0.9999999999793803,0.9999999983537611,NFL SEA vs NE
6,2026-02-09 04:21:31+00:00,2190.0,2189.999999999998,2189.999999999998,2189.999999999998,2190.000000812809,2190.0000008026273,8.026290743146092e-07,8.026290743146092e-07,8.0262907299329e-07,0.9999999983537611,0.9999999999793803,0.9999999999997418,0.9999999999793803,NFL SEA vs NE
7,2026-02-09 04:21:35+00:00,2190.0,2189.999999999998,2189.999999999998,2189.999999999998,2190.00000001018,2190.000000010048,1.0049916454590857e-08,1.005082594929263e-08,1.0050825949085385e-08,0.9999999999793803,0.9999999999997418,0.9999999999999967,0.9999999999997418,NFL SEA vs NE
8,2026-02-09 04:21:39+00:00,2190.0,2190.0,2190.0,2190.0,2190.000000000129,2190.000000000131,1.3096723705530167e-10,1.3096723705530167e-10,1.3096723705526786e-10,0.9999999999997418,0.9999999999999967,1.0,0.9999999999999967,NFL SEA vs NE
9,2026-02-09 04:21:59+00:00,2190.0,2190.0,2190.0,2190.0,2189.999999999998,2190.0,0.0,0.0,0.0,0.9999999999999967,1.0,1.0,1.0,NFL SEA vs NE
10,2026-02-09 04:22:03+00:00,2190.0,2190.0,2190.0,2190.0,2189.999999999998,2190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
11,2026-02-09 04:22:07+00:00,2190.0,2190.0,2190.0,2190.0,2189.999999999998,2190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
12,2026-02-09 04:22:27+00:00,2190.0,2190.0,2190.0,2190.0,2189.999999999998,2190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
13,2026-02-09 04:22:31+00:00,2170.0,2170.0,2170.0,2170.0,2169.999999999998,2170.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
14,2026-02-09 04:23:23+00:00,2190.0,2190.0,2190.0,2190.0,2189.999999999998,2190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
15,2026-02-09 04:23:43+00:00,2190.0,2190.0,2190.0,2190.0,2189.999999999998,2190.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,1.0,1.0,1.0,1.0,NFL SEA vs NE
16,2026-02-09 04:23:45+00:00,2190.0,2190.0,2190.0,2190.0,2189.9999999999964,2190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
17,2026-02-09 04:23:47+00:00,2190.0,2190.0,2190.0,2190.0,2189.9999999999964,2190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
18,2026-02-09 04:24:23+00:00,2190.0,2190.0,2190.0,2190.0,2189.9999999999964,2190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
19,2026-02-09 04:24:25+00:00,2190.0,2190.0,2190.0,2190.0,2189.9999999999964,2190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
20,2026-02-09 04:24:55+00:00,1320.0,1320.0,1320.0,1320.0,1319.9999999999964,1320.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
21,2026-02-09 04:25:01+00:00,1070.0,1070.0,1070.0,1070.0,1069.9999999999964,1070.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
22,2026-02-09 04:25:09+00:00,2190.0,2190.0,2190.0,2190.0,2189.9999999999964,2190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
23,2026-02-09 04:25:11+00:00,2170.0,2170.0,2170.0,2170.0,2169.9999999999964,2170.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
24,2026-02-09 04:25:15+00:00,2190.0,2190.0,2190.0,2190.0,2189.9999999999964,2190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
26,2026-02-09 04:34:49+00:00,1390.0,1390.0,1390.0,1390.0,1389.9999999999964,1390.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
27,2026-02-09 04:44:47+00:00,40000.0,40000.0,40000.0,40000.000000000015,40000.0,40000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
28,2026-02-09 04:45:53+00:00,40000.0,40000.0,40000.0,40000.0,39999.999999999985,40000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
29,2026-02-09 04:53:33+00:00,2030.0,2030.0,2030.0,2030.0,2029.9999999999854,2030.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
30,2026-02-09 04:53:35+00:00,1110.0,1110.0,1110.0,1110.0,1109.9999999999854,1110.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
31,2026-02-09 05:04:15+00:00,2050.0,2050.0,2050.0,2050.0,2049.9999999999854,2050.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
33,2026-02-09 05:15:09+00:00,1240.0,1240.0,1240.0,1240.0,1239.9999999999854,1240.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
34,2026-02-09 05:20:01+00:00,9300.0,9300.0,9300.0,9300.0,9299.999999999985,9300.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
35,2026-02-09 05:23:03+00:00,9300.0,9300.0,9300.0,9300.0,9299.999999999985,9300.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
36,2026-02-09 05:27:39+00:00,1670.0,1670.0,1670.0,1670.0,1669.9999999999854,1670.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
37,2026-02-09 05:34:53+00:00,9590.0,9590.0,9590.0,9590.0,9589.999999999985,9590.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
38,2026-02-09 05:34:55+00:00,1270.0,1270.0,1270.0,1270.0,1269.9999999999854,1270.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
39,2026-02-09 05:39:41+00:00,1850.0,1850.0,1850.0,1850.0,1849.9999999999854,1850.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
40,2026-02-09 05:39:57+00:00,1850.0,1850.0,1850.0,1850.0,1849.9999999999854,1850.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
41,2026-02-09 05:40:01+00:00,1850.0,1850.0,1850.0,1850.0,1849.9999999999854,1850.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
42,2026-02-09 05:40:03+00:00,1850.0,1850.0,1850.0,1850.0,1849.9999999999854,1850.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
43,2026-02-09 05:40:09+00:00,1220.0,1220.0,1220.0,1220.0,1219.9999999999854,1220.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
44,2026-02-09 05:40:11+00:00,2060.0,2060.0,2060.0,2060.0,2059.9999999999854,2060.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NFL SEA vs NE
