trade_index,datetime_utc,victim_size_usd,front_run_size_usd,victim_cost_baseline,victim_cost_actual,front_run_shares,back_run_revenue,attacker_profit,shares_lost,expected_value_lost,price_before,price_after_frontrun,price_after_victim,price_after_backrun,market,b,front_run_multiplier,min_victim_size_usd,price_impact
2,2025-06-02 07:45:14+00:00,49.45,12.362500000000004,49.45,49.45000000000001,28.353942971076464,18.300760084944955,5.93826008494495,9.519308141687702,3.8211664680316044,0.40141220466408184,0.47102127877050637,0.6773886956272026,0.6126007529472314,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.06960907410642453
3,2025-06-02 07:45:24+00:00,50.0,12.5,49.99999999999997,50.0,19.667593521432273,15.259248724549309,2.759248724549309,3.6222305446679286,2.218981159012033,0.6126007529472314,0.6581213644123273,0.7926401256153539,0.75845681073839,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.045520611465095895
11,2025-06-02 07:53:20+00:00,49.6,12.400000000000034,49.60000000000005,49.599999999999994,13.924627523545766,12.993423310605522,0.5934233106054876,0.6388417704656604,0.5644794164919673,0.8835981655997708,0.8971729660490653,0.9373822806585802,0.9286938536529135,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.013574800449294488
12,2025-06-02 07:53:40+00:00,40.0,10.0,40.0,40.0,10.728012428843869,10.239425960284564,0.23942596028456364,0.25145961193589983,0.23352899604681696,0.9286938536529135,0.935479530649208,0.9567506360145361,0.9520874829130805,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.00678567699629451
27,2025-06-02 08:19:24+00:00,1000.0,249.9999999999999,1000.0000000000001,999.9999999999995,251.77101321871697,251.7709320986703,1.7709320986704142,1.7709336475115833,1.7371193495614572,0.9809059486798729,0.9984326648236627,0.9999999288430932,0.9999991176430175,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,0.017526716143789756
30,2025-06-02 08:38:24+00:00,109.388887,27.34722174999979,109.38888699999984,109.38888699999984,27.347238872453204,27.34723313794575,1.1387945960450452e-05,1.1387948688934557e-05,1.1387940539466378e-05,0.9999992843778628,0.9999994556022874,0.9999998176749288,0.9999997603298675,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,1.7122442463879395e-07
31,2025-06-02 08:38:44+00:00,86.0,21.499999999999545,86.0,86.0,21.500004636624567,21.5000026745804,2.674580855455133e-06,2.6745810828288086e-06,2.674580441811606e-06,0.9999997603298675,0.9999998066961061,0.9999999182011217,0.9999998985806849,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,4.636623862630529e-08
33,2025-06-02 08:39:04+00:00,57.61111,14.402777499999956,57.61111000000005,57.61111000000028,14.402778753717598,14.40277804902803,5.490280727826757e-07,5.490278454090003e-07,5.490277940936061e-07,0.9999999065340773,0.9999999190712504,0.9999999545115689,0.9999999474646745,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,1.2537173077475927e-08
34,2025-06-02 08:39:16+00:00,47.0,11.749999999999773,46.999999999999545,46.99999999999977,11.750000582403686,11.750000218399919,2.1840014596818946e-07,2.1839969122083858e-07,2.183996797471397e-07,0.9999999474646745,0.9999999532887138,0.9999999708053402,0.9999999671653024,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,5.824039361890243e-09
37,2025-06-02 11:30:46+00:00,121.0,30.25,121.00000000000023,121.0,30.250000750726826,30.250000526862323,5.268623226584168e-07,5.268625500320923e-07,5.268625348795211e-07,0.999999971239992,0.9999999787472602,0.9999999936624908,0.9999999914238439,NBA Finals Thunder vs Pacers,100.0,0.25,25.0,7.507268251494281e-09
